Image Path,Description
downloaded_images_W07B/2024-11-18 18:26:18.530558795+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in the rain. The street is wet and there are several cars parked on the side of the road. The cars are of different models and colors, including white, black, and silver. There are also a few people walking on the sidewalk. The sky is grey and cloudy, and the street is lined with trees and buildings on both sides. The image appears to be taken from a high vantage point, looking down on the street. LABELS: several cars, The cars, few people, The sky, black pickup truck on wet street with raindrops, black Volkswagen Golf car with red taillights on wet road, white SUV on wet pavement in rain, gray car parked on street in rainy weather, black car on wet sidewalk in rain, green car on rainy street, car, wheel"
downloaded_images_W07B/2024-11-09 07:52:37.782085737+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is empty, with no cars or people visible. The sky is dark, and the street is lit up with streetlights. On the right side of the image, there is a building with a yellow facade, and on the left side, there are several cars parked on the sidewalk. In the center of the street, there appears to be a zebra crossing, with white lines marking the lanes. There are also several manhole covers on the ground, likely for pedestrians to cross the street. The image is taken from a high angle, looking down on the street and the buildings. LABELS: The sky, a building, several cars, In the center of the street, there appears to be a zebra crossing, with white lines marking the lanes, several manhole covers, street light, night scene with street lamp and traffic lights"
downloaded_images_W07B/2024-11-13 06:01:57.965703958+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides, and there are several cars driving on the road. The sky is dark, and the street is lit up with streetlights. In the center of the image, there is a crosswalk with white lines and a white car parked on the sidewalk. On the right side of the street, there are stairs leading up to a bus stop. The image appears to be taken from a high vantage point, looking down on the street. LABELS: The street, several cars, The sky, a crosswalk, a white car, stairs, white sports car on street at night, white car on city street at dusk, night, car, street light, wheel"
downloaded_images_W07B/2024-11-02 18:26:07.791665931+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is divided into two sections, with a zebra crossing in the center. The zebra crossings are white and appear to be made of concrete. There are several cars parked on the street, and a few people walking on the sidewalk on the right side of the image. On the left side, there are tall buildings and trees. The sky is blue and there are a few clouds in the distance. The image appears to be taken from a high vantage point, looking down on the intersection. LABELS: The zebra crossings, several cars, tall buildings, The sky, Aerial view of busy street with cars and people walking on sidewalk., Aerial shot of a busy street in a city with tall buildings., Aerial footage of a person walking on a sidewalk with a skateboard., Aerial image of a silver car on a city street., A silver car with a license plate that reads ""Jaguar XJ8"" on the side of the road., A silver SUV parked on a street with other cars in the background., A silver pickup truck, A black car parked on the street with a person standing next to it., A black and white photo of a man in a suit and tie., A black pickup truck with a white stripe on the hood., A black SUV with a red stripe on it., A black truck with the number 1 on the back of it., A black van with a yellow stripe on top of it is parked on street., A black man in black jacket and a white shirt is walking on the sidewalk., A black dog is walking in a parking lot., street light, person"
downloaded_images_W07B/2024-11-16 15:26:16.858098617+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy intersection in a city. The intersection is made up of multiple zebra crossing lines, with a pedestrian crossing in the center. There are several cars and buses on the road, and a few people walking on the sidewalk. On the right side of the image, there is a tall building with a red awning. The sky is overcast, and there are trees and other buildings visible in the background. The image appears to be taken from a high vantage point, looking down on the intersection. LABELS: several cars, buses, a tall building, The sky, trees, A black car parked on the side of a street next to a traffic light., A white bus on a busy street with people walking on it., A red car parked next to another red car on a street., A person walking on a sidewalk with a backpack., A person wearing a camouflage jacket and carrying a backpack on a city street., A black and white photo of a car parked in a parking lot., A person is walking on the sidewalk with their back to the camera., A person in a black jacket and a white shirt walking on street., A person with a black backpack walking on sidewalk., A black van parked on a concrete surface., A black pickup truck parked on top of a concrete floor., A black SUV parked on street with a person walking behind it., A black man in a suit and tie walking on pavement., A black dog is walking in a crowded area., A black cat is walking away from the camera on a leash., A black woman is walking down a street with other people in the background., A person standing on the street with their arms crossed. The person is wearing a black hoodie and a gray jacket. The image is taken from a high angle, so the focus is on the person and the car., car"
downloaded_images_W07B/2024-11-18 14:13:17.050154463+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is lined with tall buildings on both sides and there are several vehicles on the road. On the left side of the image, there is a yellow truck with the number 1251 on it, and on the right side, there are two large trucks with the same number on them. The trucks are parked on the side of a street, and there is an intersection with a zebra crossing and a pedestrian crossing. There are also a few people walking on the sidewalk and a few cars driving on the street. The sky is overcast and the street is wet, suggesting that it has recently rained. LABELS: The street, several vehicles, a yellow truck, the number 1251, two large trucks, The trucks, a pedestrian crossing, a few people, few people, The sky, A white bus with the number 1251 on the side of it., A large truck with a red and white logo on the back of it driving down a street., yellow truck on busy street with cars and trucks, yellow truck with red and black stripes on street, yellow truck parked on street with traffic lights and buildings in background, person walking on sidewalk with blue bag and black shoes, person walking with green bag on sidewalk, person walking in parking lot with backpack, wheel, person walking down sidewalk with backpack and camera, bus, person, car, person walking past yellow truck on street, person walking away from camera with red bag, person walking towards yellow truck with black bag on street, person walking to sidewalk with black jacket and blue jeans, person walking by sidewalk with green jacket and black pants, person walking up sidewalk with red jacket and green pants"
downloaded_images_W07B/2024-11-05 23:02:35.619012886+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is wet and there are people walking on the sidewalk, some of them holding umbrellas. The zebra crossing is in the center of the image and is surrounded by buildings on both sides. The buildings are lit up with colorful lights and there is a large archway in the background. The sky is dark and it appears to be raining. The image is taken from a high angle, looking down on the street. LABELS: umbrellas, The zebra crossing, The buildings, a large archway, The sky, CCTV footage of person walking on street at night with umbrella, CCTV image of person with black jacket and hat, CCTV camera footage of man walking on sidewalk with umbrella, CCTV surveillance image of man with black bag and hat, CCTV video of man in black jacket walking on stairs, CCTV screen with man walking and dog on street, CCTV still of man on skateboard in dark room with blue lights, CCTV photo of man wearing black jacket with white stripes and hat, CCTV security camera footage with man in suit and hat, CCTV scan of man's face with black hat and black jacket, walking shoe"
downloaded_images_W07B/2024-11-02 11:26:07.477021089+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with buildings on both sides and there are street lamps on the left and right sides of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a zebra crossing with white lines and markings on it. There are several cars driving on the street and a few people walking on the sidewalk. The image appears to be taken from a high angle, looking down on the intersection. LABELS: The street, street lamps, The sky, a zebra crossing, several cars, night scene with street lamps and traffic lights, street light, night scene"
downloaded_images_W07B/2024-11-13 07:52:43.364621360+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is empty, with no cars or people visible. The sky is dark, and the street is lit up with streetlights. On the right side of the image, there is a tall building with a yellow facade. In the center of the street, there are two zebra crossing lines, one on each side. The zebra crossings are white and appear to be made of concrete. There are several manhole covers on the ground, and a few people can be seen walking on the sidewalk. The image is taken from a high angle, looking down on the street. LABELS: The sky, a tall building, two zebra crossing lines, The zebra crossings, several manhole covers, nighttime street scene with lampposts and traffic lights, street light, nighttime scene with street lamps and traffic cones, nighttime view of street lamps with red lights and blue lights, nighttime photo of street lamp with red light and blue light"
downloaded_images_W07B/2024-11-19 17:39:07.704494314+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is lined with tall buildings on both sides and there are several buses parked on the side of the road. There are several cars and buses on the street, including a white car and a white bus. The sky is cloudy and the street is wet, suggesting that it has recently rained. People are walking on the sidewalk and some are crossing the street. The overall mood of the image is busy and bustling. LABELS: several buses, several cars, The sky, People, A white car with a sunroof on a city street., A white bus with blue and yellow stripes on a busy street., A white and yellow bus on a street with people walking on the sidewalk., A black car parked on the side of a street next to a traffic light., A black van parked on a road with a person walking on it., A gray car, bus, A black and white photo of a bus on the street., A black bus with a yellow stripe on the front., A black truck with a white stripe on it on the road., A black pickup truck with the number 14 on the back., wheel, A black SUV with a license plate that reads ""BOSCH"" on the roof., car"
downloaded_images_W07B/2024-11-15 23:52:07.870100974+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides, and there are several cars and buses driving on the road. The buildings are lit up with colorful lights, creating a vibrant atmosphere. The sky is dark, indicating that it is nighttime.

In the center of the image, there is a crosswalk with white lines and a few people walking on it. On the left side of the crosswalk, there are a few cars parked on the street, and on the right side, there appears to be a building with a yellow facade. There are also a few trees and other buildings visible in the background. The image appears to have been taken from a high vantage point, looking down on the busy street. LABELS: several cars, buses, The buildings, The sky, a crosswalk, a few cars, a building with a yellow facade, a few trees, police cars at night on busy street at night, black car with blue lights on street at dusk, car, CCTV footage of man walking on street with dog, CCTV image of man in black hoodie walking on sidewalk, CCTV photo of man with dog on street, CCTV camera footage of woman in black jacket and white pants, CCTV video of man on skateboard in parking lot, CCTV surveillance image of black car with red and blue lights, CCTV images of man and woman on street, CCTV of man wearing black hooded jacket and blue jeans on street, CCTV view of man's face in black shirt and jeans on sidewalk, CCTV scan of man sitting on bench with blue jeans and black jacket, CCTV screenshot of man lying on ground with blue shoes, CCTV screen of man suspected of murder in parking garage"
